LastName,FirstName,BirthDate,BirthCountry,Gender,CitizenshipCountry,CitizenshipBasis,CitizenshipStartDate,PassportCountry,PassportIssueDate,PassportExpirationDate,CurrentEmploymentType,CurrentEmploymentTitle,CurrentEmploymentStartDate,EmailAddress,MilitaryServiceBranch,MilitaryDischargeType,MilitaryDischargeDate
Bramar,Mat,19-12-81,Tethys,Male,Tethys,BirthNation,19-12-81,Tethys,12-12-07,11-12-17,Administration,Assistant to CEO,01-07-05,Mat.Bramar@gastech.com.kronos,,,
Ribera,Anda,17-11-75,Tethys,Female,Tethys,BirthNation,17-11-75,Tethys,15-06-09,14-06-19,Administration,Assistant to CFO,30-10-09,Anda.Ribera@gastech.com.kronos,,,
Pantanal,Rachel,22-08-84,Tethys,Female,Tethys,BirthNation,22-08-84,Tethys,13-06-13,12-06-23,Administration,Assistant to CIO,01-10-13,Rachel.Pantanal@gastech.com.kronos,,,
Lagos,Linda,26-01-80,Tethys,Female,Tethys,BirthNation,26-01-80,Tethys,01-11-09,31-10-19,Administration,Assistant to COO,01-02-10,Linda.Lagos@gastech.com.kronos,,,
Mies Haber,Ruscella,26-04-64,Kronos,Female,Kronos,BirthNation,26-04-64,,,,Administration,Assistant to Engineering Group Manager,02-04-03,Ruscella.Mies.Haber@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,01-10-84
Forluniau,Carla,02-06-81,Kronos,Female,Kronos,BirthNation,02-06-81,,,,Administration,Assistant to IT Group Manager,07-03-05,Carla.Forluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-01
Lais,Cornelia,07-07-91,Kronos,Female,Kronos,BirthNation,07-07-91,,,,Administration,Assistant to Security Group Manager,22-12-11,Cornelia.Lais@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-11
Onda,Marin,31-12-69,Tethys,Male,Tethys,BirthNation,31-12-69,Tethys,15-04-05,14-04-15,Engineering,Drill Site Manager,13-04-03,Marin.Onda@gastech.com.kronos,,,
Borrasca,Isande,22-10-79,Tethys,Female,Tethys,BirthNation,22-10-79,Tethys,03-10-08,02-10-18,Engineering,Drill Technician,18-02-04,Isande.Borrasca@gastech.com.kronos,,,
Calzas,Axel,13-09-75,Tethys,Male,Tethys,BirthNation,13-09-75,Tethys,31-01-12,30-01-22,Engineering,Drill Technician,17-07-97,Axel.Calzas@gastech.com.kronos,,,
Orilla,Kare,29-02-64,Tethys,Female,Tethys,BirthNation,29-02-64,Tethys,01-07-13,30-06-23,Engineering,Drill Technician,12-11-05,Kare.Orilla@gastech.com.kronos,,,
Orilla,Elsa,12-04-82,Tethys,Female,Tethys,BirthNation,12-04-82,Tethys,28-02-10,27-02-20,Engineering,Drill Technician,26-05-04,Elsa.Orilla@gastech.com.kronos,,,
Tempestad,Brand,14-05-79,Tethys,Male,Tethys,BirthNation,14-05-79,Tethys,05-05-12,04-05-22,Engineering,Drill Technician,12-06-04,Brand.Tempestad@gastech.com.kronos,,,
Azada,Lars,30-04-73,Tethys,Male,Tethys,BirthNation,30-04-73,Tethys,01-06-11,31-05-21,Engineering,Engineer,01-12-95,Lars.Azada@gastech.com.kronos,TethanDefenseForceAir,GeneralDischarge,01-10-95
Balas,Felix,04-03-60,Tethys,Male,Tethys,BirthNation,04-03-60,Tethys,15-04-05,14-04-15,Engineering,Engineer,02-09-04,Felix.Balas@gastech.com.kronos,TethanDefenseForceNavy,HonorableDischarge,01-10-88
Dedos,Lidelse,14-02-52,Tethys,Female,Tethys,BirthNation,14-02-52,Tethys,13-08-08,12-08-18,Engineering,Engineering Group Manager,01-03-03,Lidelse.Dedos@gastech.com.kronos,,,
Frente,Birgitta,31-07-76,Tethys,Female,Tethys,BirthNation,31-07-76,Tethys,17-03-06,16-03-16,Engineering,Geologist,03-05-99,Birgitta.Frente@gastech.com.kronos,,,
Nubarron,Adra,06-06-68,Tethys,Female,Tethys,BirthNation,06-06-68,Tethys,12-11-07,11-11-17,Engineering,Geologist,08-07-94,Adra.Nubarron@gastech.com.kronos,,,
Cazar,Gustav,06-11-86,Tethys,Male,Tethys,BirthNation,06-11-86,Tethys,10-06-09,09-06-19,Engineering,Hydraulic Technician,15-09-09,Gustav.Cazar@gastech.com.kronos,,,
Frente,Vira,29-12-77,Tethys,Female,Tethys,BirthNation,29-12-77,Tethys,20-02-10,19-02-20,Engineering,Hydraulic Technician,01-12-01,Vira.Frente@gastech.com.kronos,,,
Vasco-Pais,Willem,18-03-75,Tethys,Male,Tethys,BirthNation,18-03-75,Tethys,26-11-11,25-11-21,Executive,Environmental Safety Advisor,05-06-10,Willem.Vasco-Pais@gastech.com.kronos,,,
Sanjorge Jr.,Sten,29-08-48,Tethys,Male,Tethys,BirthNation,29-08-48,Tethys,21-04-13,20-04-23,Executive,President/CEO,09-11-90,Sten.Sanjorge Jr.@gastech.com.kronos,,,
Barranco,Ingrid,26-10-61,Tethys,Female,Tethys,BirthNation,26-10-61,Tethys,01-07-13,30-06-23,Executive,SVP/CFO,30-09-03,Ingrid.Barranco@gastech.com.kronos,,,
Campo-Corrente,Ada,26-11-51,Tethys,Female,Tethys,BirthNation,26-11-51,Tethys,14-07-13,13-07-23,Executive,SVP/CIO,05-10-04,Ada.Campo-Corrente@gastech.com.kronos,,,
Strum,Orhan,18-10-63,Asteria,Male,Tethys,ParentCitizenship,18-10-63,Tethys,02-06-11,01-06-21,Executive,SVP/COO,07-08-03,Orhan.Strum@gastech.com.kronos,,,
Ovan,Bertrand,12-12-64,Tethys,Male,Tethys,BirthNation,12-12-64,Tethys,03-10-08,02-10-18,Facilities,Facilities Group Manager,01-10-98,Bertrand.Ovan@gastech.com.kronos,TethanDefenseForceAir,HonorableDischarge,01-10-93
Arpa,Emile,01-10-92,Kronos,Male,Kronos,BirthNation,01-10-92,,,,Facilities,Janitor,18-03-13,Emile.Arpa@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-12
Awelon,Varro,05-05-86,Kronos,Male,Kronos,BirthNation,05-05-86,,,,Facilities,Janitor,22-10-12,Varro.Awelon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-06
Coginian,Dante,01-12-71,Kronos,Male,Kronos,BirthNation,01-12-71,,,,Facilities,Lead Janitor,07-01-95,Dante.Coginian@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-92
Hafon,Albina,14-06-87,Kronos,Female,Kronos,BirthNation,14-06-87,,,,Facilities,Truck Driver,12-09-09,Albina.Hafon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-07
Hawelon,Benito,23-11-78,Kronos,Male,Kronos,BirthNation,23-11-78,,,,Facilities,Truck Driver,21-02-00,Benito.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,01-10-99
Hawelon,Claudio,13-08-83,Kronos,Male,Kronos,BirthNation,13-08-83,,,,Facilities,Truck Driver,13-03-07,Claudio.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-03
Mies,Henk,23-09-84,Kronos,Male,Kronos,BirthNation,23-09-84,,,,Facilities,Truck Driver,12-07-13,Henk.Mies@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,01-10-04
Morlun,Valeria,22-09-81,Kronos,Female,Kronos,BirthNation,22-09-81,,,,Facilities,Truck Driver,02-12-03,Valeria.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,01-10-01
Morlun,Adan,09-10-84,Kronos,Male,Kronos,BirthNation,09-10-84,,,,Facilities,Truck Driver,14-01-06,Adan.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,01-10-05
Morluniau,Cecilia,02-09-88,Kronos,Female,Kronos,BirthNation,02-09-88,,,,Facilities,Truck Driver,30-04-09,Cecilia.Morluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-08
Nant,Irene,13-03-85,Kronos,Female,Kronos,BirthNation,13-03-85,,,,Facilities,Truck Driver,30-11-08,Irene.Nant@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-05
Scozzese,Dylan,25-05-86,Kronos,Male,Kronos,BirthNation,25-05-86,,,,Facilities,Truck Driver,01-03-07,Dylan.Scozzese@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,01-10-06
Bergen,Linnea,10-07-69,Tethys,Female,Tethys,BirthNation,10-07-69,Tethys,29-04-04,28-04-14,Information Technology,IT Group Manager,04-07-04,Linnea.Bergen@gastech.com.kronos,,,
Alcazar,Lucas,17-04-90,Tethys,Male,Tethys,BirthNation,17-04-90,Tethys,24-01-13,23-01-23,Information Technology,IT Helpdesk,30-11-10,Lucas.Alcazar@gastech.com.kronos,,,
Baza,Isak,12-02-79,Tethys,Male,Tethys,BirthNation,12-02-79,Tethys,13-08-08,12-08-18,Information Technology,IT Technician,20-03-02,Isak.Baza@gastech.com.kronos,,,
Calixto,Nils,26-03-82,Tethys,Male,Tethys,BirthNation,26-03-82,Tethys,12-06-12,11-06-22,Information Technology,IT Technician,19-10-04,Nils.Calixto@gastech.com.kronos,,,
Flecha,Sven,11-11-86,Tethys,Male,Tethys,BirthNation,11-11-86,Tethys,09-10-06,08-10-16,Information Technology,IT Technician,15-10-10,Sven.Flecha@gastech.com.kronos,,,
Herrero,Kanon,03-10-84,Tethys,Male,Tethys,BirthNation,03-10-84,Tethys,10-10-08,09-10-18,Security,Badging Office,20-11-08,Kanon.Herrero@gastech.com.kronos,,,
Lagos,Varja,01-05-76,Tethys,Female,Tethys,BirthNation,01-05-76,Tethys,07-07-13,06-07-23,Security,Badging Office,01-10-06,Varja.Lagos@gastech.com.kronos,,,
Fusil,Stenig,29-04-63,Tethys,Male,Tethys,BirthNation,29-04-63,Tethys,03-04-06,02-04-16,Security,Building Control,05-02-04,Stenig.Fusil@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,01-10-87
Mies,Minke,19-11-92,Kronos,Male,Kronos,BirthNation,19-11-92,,,,Security,Perimeter Control,22-05-13,Minke.Mies@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-11
Osvaldo,Hennie,31-05-88,Kronos,Male,Kronos,BirthNation,31-05-88,,,,Security,Perimeter Control,07-06-11,Hennie.Osvaldo@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-10
Vann,Isia,13-12-86,Kronos,Male,Kronos,BirthNation,13-12-86,,,,Security,Perimeter Control,14-12-07,Isia.Vann@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-07
Vann,Edvard,18-03-91,Kronos,Male,Kronos,BirthNation,18-03-91,,,,Security,Perimeter Control,15-08-13,Edvard.Vann@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,01-10-11
Resumir,Felix,30-06-59,Tethys,Male,Tethys,BirthNation,30-06-59,Tethys,20-03-05,19-03-15,Security,Security Group Manager,15-09-03,Felix.Resumir@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,01-10-97
Bodrogi,Loreto,17-04-89,Kronos,Male,Kronos,BirthNation,17-04-89,,,,Security,Site Control,17-08-13,Loreto.Bodrogi@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,01-10-08
Cocinaro,Hideki,25-12-80,Tethys,Male,Tethys,BirthNation,25-12-80,Tethys,25-05-13,24-05-23,Security,Site Control,01-01-10,Hideki.Cocinaro@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,01-10-09
Ferro,Inga,17-06-89,Kronos,Female,Kronos,BirthNation,17-06-89,,,,Security,Site Control,11-01-13,Inga.Ferro@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,01-10-12
